CMDLINE python example_L2T_STARS_with_download.py
MEM 2284.437500 1733254049.8509
MEM 2284.437500 1733254049.9561
MEM 2284.437500 1733254050.0564
MEM 2284.437500 1733254050.1616
MEM 2284.437500 1733254050.2668
MEM 2284.437500 1733254050.3721
MEM 2284.437500 1733254050.4773
MEM 2284.437500 1733254050.5778
MEM 2284.437500 1733254050.6830
MEM 2284.437500 1733254050.7883
MEM 2284.437500 1733254050.8934
MEM 2284.437500 1733254050.9942
MEM 2284.437500 1733254051.0995
MEM 2284.437500 1733254051.2003
MEM 2284.437500 1733254051.3056
MEM 2284.437500 1733254051.4108
MEM 2284.437500 1733254051.5161
MEM 2284.437500 1733254051.6213
MEM 2284.437500 1733254051.7221
MEM 2284.437500 1733254051.8273
MEM 2284.437500 1733254051.9325
MEM 2284.437500 1733254052.0351
MEM 2284.437500 1733254052.1383
MEM 2284.437500 1733254052.2435
MEM 2284.437500 1733254052.3487
MEM 2284.437500 1733254052.4503
MEM 2284.437500 1733254052.5555
MEM 2284.437500 1733254052.6607
MEM 2284.437500 1733254052.7659
MEM 2284.437500 1733254052.8688
MEM 2284.437500 1733254052.9690
MEM 2284.437500 1733254053.0695
